Phone Number,Email,Credit Score,Age Group,Family Background,Income,Intent,family_encoded,age_encoded
+91-3842985887,user212@test.com,526,51+,Married with Kids,326597,0,1,3
+91-4336512201,user213@test.com,411,36–50,Married with Kids,108078,0,1,2
+91-3884526655,user214@test.com,809,18–25,Married,715942,1,0,0
+91-8889071796,user215@test.com,772,51+,Married,229101,0,0,3
+91-3271078557,user216@test.com,398,26–35,Single,582737,1,2,1
+91-7158035641,user217@test.com,452,18–25,Married,541920,1,0,0
+91-1450519449,user218@test.com,637,51+,Married with Kids,641285,0,1,3
+91-1537991894,user219@test.com,462,36–50,Single,573026,0,2,2
+91-5868843151,user220@test.com,460,36–50,Married,756228,0,0,2
+91-1468672098,user221@test.com,697,26–35,Single,608715,1,2,1
+91-8189886726,user222@test.com,576,18–25,Married with Kids,519614,1,1,0
+91-9262482489,user223@test.com,803,26–35,Married with Kids,312650,1,1,1
+91-8060978454,user224@test.com,691,51+,Married with Kids,459500,0,1,3
+91-3384989305,user225@test.com,434,36–50,Married,475855,0,0,2
+91-3269793181,user226@test.com,494,26–35,Married,907678,1,0,1
+91-9148304138,user227@test.com,700,18–25,Married,251633,1,0,0
+91-2984274927,user228@test.com,332,51+,Married,134512,0,0,3
+91-9527327232,user229@test.com,759,18–25,Married,325226,1,0,0
+91-3117850991,user230@test.com,769,26–35,Married,308467,1,0,1
+91-4713599867,user231@test.com,674,36–50,Married with Kids,944297,1,1,2
+91-8615677065,user232@test.com,321,36–50,Married with Kids,564175,0,1,2
+91-1342648677,user233@test.com,337,26–35,Married,989825,1,0,1
+91-1073231538,user234@test.com,529,18–25,Married with Kids,696432,1,1,0
+91-5928126095,user235@test.com,664,18–25,Single,797845,1,2,0
+91-7290841524,user236@test.com,737,18–25,Married,217363,1,0,0
+91-9870839565,user237@test.com,582,18–25,Single,412809,0,2,0
+91-6360383147,user238@test.com,326,36–50,Married,825772,0,0,2
+91-5238804490,user239@test.com,525,18–25,Married,281675,0,0,0
+91-2381994606,user240@test.com,576,26–35,Married with Kids,252110,0,1,1
+91-8431811980,user241@test.com,583,26–35,Single,717830,1,2,1
+91-2976474561,user242@test.com,780,26–35,Married with Kids,987743,1,1,1
+91-8867579060,user243@test.com,752,26–35,Married,589562,1,0,1
+91-6477449648,user244@test.com,815,18–25,Single,900757,1,2,0
+91-7324256368,user245@test.com,846,36–50,Married,266964,0,0,2
+91-1907967496,user246@test.com,491,51+,Married with Kids,494969,0,1,3
+91-3789495121,user247@test.com,348,18–25,Married,773356,1,0,0
+91-7381093217,user248@test.com,811,51+,Married,955243,1,0,3
+91-9433622403,user249@test.com,316,36–50,Married with Kids,829643,0,1,2
+91-4236220517,user250@test.com,471,18–25,Married,216737,0,0,0
+91-2026271986,user251@test.com,519,51+,Single,556036,0,2,3
+91-3730696973,user252@test.com,457,36–50,Married with Kids,362968,0,1,2
+91-7925317404,user253@test.com,776,51+,Married,507096,1,0,3
+91-5487271452,user254@test.com,345,26–35,Married with Kids,864705,1,1,1
+91-5166502392,user255@test.com,672,26–35,Married,742006,1,0,1
+91-6244608653,user256@test.com,817,36–50,Married with Kids,428761,0,1,2
+91-6265266319,user257@test.com,398,36–50,Married with Kids,373661,0,1,2
+91-2572160435,user258@test.com,336,51+,Single,777043,0,2,3
+91-2312604925,user259@test.com,579,36–50,Married with Kids,510092,0,1,2
+91-4460060055,user260@test.com,648,26–35,Single,465212,0,2,1
+91-5586425834,user261@test.com,796,26–35,Married with Kids,567018,1,1,1
+91-2671478721,user262@test.com,601,18–25,Married with Kids,832079,1,1,0
+91-7172422287,user263@test.com,480,51+,Married,873408,0,0,3
+91-4215355456,user264@test.com,398,36–50,Married,878610,0,0,2
+91-7798781048,user265@test.com,415,36–50,Married,579818,0,0,2
+91-4697245386,user266@test.com,490,36–50,Married with Kids,309485,0,1,2
+91-3680838323,user267@test.com,552,51+,Married with Kids,372126,0,1,3
+91-4757060662,user268@test.com,460,26–35,Single,519814,1,2,1
+91-5862004647,user269@test.com,555,36–50,Single,245711,0,2,2
+91-4519813566,user270@test.com,622,36–50,Single,694498,0,2,2
+91-8091354236,user271@test.com,427,26–35,Married,694140,1,0,1
+91-2403210788,user272@test.com,317,36–50,Married,879427,0,0,2
+91-3169660241,user273@test.com,622,18–25,Single,109695,0,2,0
+91-9138647405,user274@test.com,587,26–35,Married with Kids,148582,0,1,1
+91-8570908643,user275@test.com,454,26–35,Married,393238,0,0,1
+91-1518757634,user276@test.com,789,26–35,Married,815995,1,0,1
+91-7106945726,user277@test.com,685,18–25,Single,384331,1,2,0
+91-9965071704,user278@test.com,403,26–35,Married,753009,1,0,1
+91-5792198996,user279@test.com,692,51+,Single,730971,1,2,3
+91-9375925351,user280@test.com,545,51+,Married,887646,0,0,3
+91-3902912407,user281@test.com,475,51+,Married with Kids,910372,0,1,3
+91-8056198304,user282@test.com,338,26–35,Married with Kids,619382,1,1,1
+91-5105288806,user283@test.com,776,26–35,Married,668694,1,0,1
+91-5599619936,user284@test.com,837,26–35,Single,247049,1,2,1
+91-2220404977,user285@test.com,707,18–25,Married,538055,1,0,0
+91-1798079890,user286@test.com,824,51+,Single,551090,1,2,3
+91-4809959615,user287@test.com,805,36–50,Married,944846,1,0,2
+91-8024944321,user288@test.com,335,36–50,Married with Kids,463584,0,1,2
+91-8147633099,user289@test.com,319,26–35,Married with Kids,335994,0,1,1
+91-4903831050,user290@test.com,620,18–25,Married,990001,1,0,0
+91-4218756839,user291@test.com,811,26–35,Married,811601,1,0,1
+91-4716677153,user292@test.com,699,36–50,Married,304573,0,0,2
+91-5877398277,user293@test.com,770,51+,Married with Kids,830493,1,1,3
+91-5461236242,user294@test.com,442,36–50,Married with Kids,160481,0,1,2
+91-2624999376,user295@test.com,391,51+,Single,862372,0,2,3
+91-8506493228,user296@test.com,653,51+,Married,389884,0,0,3
+91-3787455886,user297@test.com,350,18–25,Married,949760,1,0,0
+91-4600950932,user298@test.com,489,36–50,Married with Kids,596733,0,1,2
+91-7845051494,user299@test.com,424,26–35,Married,374025,0,0,1
+91-7337287184,user300@test.com,449,18–25,Single,399140,0,2,0
+91-8903989884,user301@test.com,613,51+,Married,787537,0,0,3
+91-2596824995,user302@test.com,641,36–50,Married with Kids,746484,0,1,2
+91-8061884753,user303@test.com,604,26–35,Married,661465,1,0,1
+91-2498470341,user304@test.com,353,18–25,Married with Kids,166126,0,1,0
+91-5370688394,user305@test.com,743,26–35,Single,418675,1,2,1
+91-1316766393,user306@test.com,563,36–50,Single,126119,0,2,2
+91-1480180689,user307@test.com,352,26–35,Married,742032,1,0,1
+91-4458082520,user308@test.com,304,18–25,Married,216894,0,0,0
+91-6589619688,user309@test.com,402,26–35,Married with Kids,258987,0,1,1
+91-8552220643,user310@test.com,495,36–50,Single,495924,0,2,2
+91-3581940855,user311@test.com,649,18–25,Single,531965,1,2,0
+91-9519580487,user312@test.com,346,51+,Single,144989,0,2,3
+91-2358537615,user313@test.com,568,18–25,Single,908538,1,2,0
+91-6006280752,user314@test.com,669,36–50,Married,903563,1,0,2
+91-8461530565,user315@test.com,405,26–35,Married,932985,1,0,1
+91-9422589492,user316@test.com,419,51+,Married with Kids,106553,0,1,3
+91-5243725380,user317@test.com,357,51+,Single,642169,0,2,3
+91-5057720887,user318@test.com,645,26–35,Married,101379,0,0,1
+91-1404784179,user319@test.com,773,36–50,Married,452935,0,0,2
+91-4277275464,user320@test.com,416,18–25,Single,467808,0,2,0
+91-6162822816,user321@test.com,426,36–50,Married,169306,0,0,2
+91-8904140244,user322@test.com,692,51+,Married with Kids,512942,1,1,3
+91-1912154950,user323@test.com,357,18–25,Married with Kids,343825,0,1,0
+91-9925075698,user324@test.com,812,18–25,Single,527530,1,2,0
+91-8694645971,user325@test.com,395,26–35,Married with Kids,611030,1,1,1
+91-8604841625,user326@test.com,417,36–50,Married,728800,0,0,2
+91-8287779979,user327@test.com,787,18–25,Married with Kids,378494,1,1,0
+91-4524862446,user328@test.com,536,26–35,Married,600395,1,0,1
+91-3800051329,user329@test.com,571,36–50,Single,199599,0,2,2
+91-9733843913,user330@test.com,488,51+,Single,705685,0,2,3
+91-3264561336,user331@test.com,746,51+,Married,441653,0,0,3
+91-6544838556,user332@test.com,546,36–50,Married,642057,0,0,2
+91-1934342802,user333@test.com,375,18–25,Married with Kids,802609,1,1,0
+91-1049521146,user334@test.com,453,18–25,Married,725872,1,0,0
+91-7075701351,user335@test.com,734,51+,Single,408509,0,2,3
+91-6540905403,user336@test.com,385,51+,Married,412329,0,0,3
+91-8059842564,user337@test.com,584,18–25,Married with Kids,758146,1,1,0
+91-2265740498,user338@test.com,519,36–50,Married with Kids,855897,0,1,2
+91-1667848791,user339@test.com,368,51+,Married,226525,0,0,3
+91-3927050389,user340@test.com,346,18–25,Married with Kids,494836,0,1,0
+91-1530871266,user341@test.com,393,36–50,Married with Kids,660591,0,1,2
+91-7687787646,user342@test.com,752,26–35,Single,119589,1,2,1
+91-2417540518,user343@test.com,503,36–50,Married,365026,0,0,2
+91-6081602961,user344@test.com,517,18–25,Single,280394,0,2,0
+91-9768738897,user345@test.com,773,36–50,Single,753524,1,2,2
+91-5044374328,user346@test.com,731,18–25,Married with Kids,517740,1,1,0
+91-3680386225,user347@test.com,640,51+,Single,896177,0,2,3
+91-2608099357,user348@test.com,850,26–35,Married,115861,1,0,1
+91-1572592800,user349@test.com,588,51+,Married,715995,0,0,3
+91-3571295206,user350@test.com,553,51+,Married,416405,0,0,3
+91-2099202799,user351@test.com,656,18–25,Single,879331,1,2,0
+91-6231045953,user352@test.com,322,18–25,Married,758197,1,0,0
+91-7818154554,user353@test.com,821,18–25,Married,436279,1,0,0
+91-2485538367,user354@test.com,399,18–25,Single,678668,1,2,0
+91-3745836662,user355@test.com,479,51+,Single,972521,0,2,3
+91-6544994833,user356@test.com,522,18–25,Single,729313,1,2,0
+91-3543873860,user357@test.com,741,18–25,Single,805191,1,2,0
+91-9207974796,user358@test.com,624,51+,Married with Kids,320421,0,1,3
+91-7457649731,user359@test.com,815,26–35,Single,344497,1,2,1
+91-7392410645,user360@test.com,315,26–35,Single,784880,1,2,1
+91-9709122508,user361@test.com,635,36–50,Married,522757,0,0,2
+91-6007736424,user362@test.com,557,51+,Married,144397,0,0,3
+91-5549182468,user363@test.com,796,18–25,Single,963517,1,2,0
+91-3990822331,user364@test.com,459,36–50,Single,950297,0,2,2
+91-9863824147,user365@test.com,774,26–35,Single,942388,1,2,1
+91-8062798271,user366@test.com,679,26–35,Married,520669,1,0,1
+91-4092216812,user367@test.com,844,51+,Married,555561,1,0,3
+91-7871235209,user368@test.com,726,18–25,Single,987159,1,2,0
+91-1693807134,user369@test.com,567,18–25,Married,506122,1,0,0
+91-9853612502,user370@test.com,716,36–50,Married,377132,0,0,2
+91-8804561048,user371@test.com,467,26–35,Single,258795,0,2,1
+91-3330145366,user372@test.com,342,36–50,Married,658088,0,0,2
+91-4955890546,user373@test.com,584,36–50,Single,258502,0,2,2
+91-3372710713,user374@test.com,696,36–50,Married with Kids,525751,1,1,2
+91-6667230949,user375@test.com,311,18–25,Married with Kids,299548,0,1,0
+91-5117562373,user376@test.com,601,26–35,Married with Kids,357653,0,1,1
+91-3630125516,user377@test.com,552,36–50,Married,973761,0,0,2
+91-5316357856,user378@test.com,798,26–35,Married with Kids,676572,1,1,1
+91-3388355160,user379@test.com,334,26–35,Married,680520,1,0,1
+91-6857757223,user380@test.com,389,36–50,Single,144420,0,2,2
+91-1137920886,user381@test.com,717,36–50,Married with Kids,924142,1,1,2
+91-7148459493,user382@test.com,414,51+,Married,565713,0,0,3
+91-4322442769,user383@test.com,495,18–25,Married with Kids,716323,1,1,0
+91-8041423165,user384@test.com,800,26–35,Married,533714,1,0,1
+91-8042635984,user385@test.com,792,36–50,Married,917715,1,0,2
+91-6884125971,user386@test.com,374,36–50,Single,297241,0,2,2
+91-9609625015,user387@test.com,712,26–35,Married,817817,1,0,1
+91-1662380417,user388@test.com,675,36–50,Married,349863,0,0,2
+91-5083698763,user389@test.com,719,51+,Married with Kids,125968,0,1,3
+91-8913119544,user390@test.com,576,26–35,Single,162508,0,2,1
+91-6476549040,user391@test.com,693,36–50,Married,860151,1,0,2
+91-3287211707,user392@test.com,756,26–35,Married with Kids,818580,1,1,1
+91-1094831957,user393@test.com,491,36–50,Single,475579,0,2,2
+91-3661740847,user394@test.com,398,36–50,Married,185366,0,0,2
+91-3790191026,user395@test.com,847,18–25,Married with Kids,630026,1,1,0
+91-3447264631,user396@test.com,395,26–35,Single,103098,0,2,1
+91-1681712191,user397@test.com,489,18–25,Single,195424,0,2,0
+91-9434531141,user398@test.com,336,36–50,Single,828993,0,2,2
+91-3185899163,user399@test.com,668,26–35,Single,702960,1,2,1
+91-5205340451,user400@test.com,824,26–35,Married,400388,1,0,1
+91-7999072229,user401@test.com,578,51+,Married,763613,0,0,3
+91-7547248017,user402@test.com,516,51+,Single,940765,0,2,3
+91-3851926542,user403@test.com,572,36–50,Single,225349,0,2,2
+91-7622132202,user404@test.com,361,36–50,Married,675257,0,0,2
+91-8761701819,user405@test.com,641,36–50,Married with Kids,715032,0,1,2
+91-9412287275,user406@test.com,696,36–50,Single,301495,0,2,2
+91-7202403242,user407@test.com,318,51+,Married,217286,0,0,3
